Código,Región,Consumo promedio mensual m3,Consumo diario en litros
50701,Región Chorotega,5.62,187.333333333
50702,Región Chorotega,5.62,187.333333333
50703,Región Chorotega,5.62,187.333333333
50704,Región Chorotega,5.62,187.333333333
50801,Región Chorotega,5.62,187.333333333
50802,Región Chorotega,5.62,187.333333333
50803,Región Chorotega,5.62,187.333333333
50804,Región Chorotega,5.62,187.333333333
50805,Región Chorotega,5.62,187.333333333
50806,Región Chorotega,5.62,187.333333333
50807,Región Chorotega,5.62,187.333333333
50901,Región Chorotega,5.62,187.333333333
50902,Región Chorotega,5.62,187.333333333
50903,Región Chorotega,5.62,187.333333333
50904,Región Chorotega,5.62,187.333333333
50905,Región Chorotega,5.62,187.333333333
50906,Región Chorotega,5.62,187.333333333
51001,Región Chorotega,5.62,187.333333333
51002,Región Chorotega,5.62,187.333333333
51003,Región Chorotega,5.62,187.333333333
51004,Región Chorotega,5.62,187.333333333
51101,Región Chorotega,5.62,187.333333333
51102,Región Chorotega,5.62,187.333333333
51103,Región Chorotega,5.62,187.333333333
51104,Región Chorotega,5.62,187.333333333
60101,Región Pacífico Central,5.56,185.333333333
60102,Región Pacífico Central,5.56,185.333333333
60103,Región Pacífico Central,5.56,185.333333333
60104,Región Pacífico Central,5.56,185.333333333
60105,Región Pacífico Central,5.56,185.333333333
60106,Región Pacífico Central,5.56,185.333333333
60107,Región Pacífico Central,5.56,185.333333333
60108,Región Pacífico Central,5.56,185.333333333
60109,Región Pacífico Central,5.56,185.333333333
60110,Región Pacífico Central,5.56,185.333333333
60111,Región Pacífico Central,5.56,185.333333333
60112,Región Pacífico Central,5.56,185.333333333
60113,Región Pacífico Central,5.56,185.333333333
60114,Región Pacífico Central,5.56,185.333333333
60115,Región Pacífico Central,5.56,185.333333333
60116,Región Pacífico Central,5.56,185.333333333
60201,Región Pacífico Central,5.56,185.333333333
60202,Región Pacífico Central,5.56,185.333333333
60203,Región Pacífico Central,5.56,185.333333333
60204,Región Pacífico Central,5.56,185.333333333
60205,Región Pacífico Central,5.56,185.333333333
60301,Región Brunca,5.36,178.666666667
60302,Región Brunca,5.36,178.666666667
60303,Región Brunca,5.36,178.666666667
60304,Región Brunca,5.36,178.666666667
60305,Región Brunca,5.36,178.666666667
60306,Región Brunca,5.36,178.666666667
60307,Región Brunca,5.36,178.666666667
60308,Región Brunca,5.36,178.666666667
60309,Región Brunca,5.36,178.666666667
60401,Región Pacífico Central,5.56,185.333333333
60402,Región Pacífico Central,5.56,185.333333333
60403,Región Pacífico Central,5.56,185.333333333
60501,Región Brunca,5.36,178.666666667
60502,Región Brunca,5.36,178.666666667
60503,Región Brunca,5.36,178.666666667
60504,Región Brunca,5.36,178.666666667
60505,Región Brunca,5.36,178.666666667
60601,Región Pacífico Central,5.56,185.333333333
60602,Región Pacífico Central,5.56,185.333333333
60603,Región Pacífico Central,5.56,185.333333333
60701,Región Brunca,5.36,178.666666667
60702,Región Brunca,5.36,178.666666667
60703,Región Brunca,5.36,178.666666667
60704,Región Brunca,5.36,178.666666667
60801,Región Brunca,5.36,178.666666667
60802,Región Brunca,5.36,178.666666667
60803,Región Brunca,5.36,178.666666667
60804,Región Brunca,5.36,178.666666667
60805,Región Brunca,5.36,178.666666667
60901,Región Pacífico Central,5.56,185.333333333
61001,Región Brunca,5.36,178.666666667
61002,Región Brunca,5.36,178.666666667
61003,Región Brunca,5.36,178.666666667
61004,Región Brunca,5.36,178.666666667
61101,Región Pacífico Central,5.56,185.333333333
61102,Región Pacífico Central,5.56,185.333333333
70101,Región Huetar Atlántica,5.13,171
70102,Región Huetar Atlántica,5.13,171
70103,Región Huetar Atlántica,5.13,171
70104,Región Huetar Atlántica,5.13,171
70201,Región Huetar Atlántica,5.13,171
70202,Región Huetar Atlántica,5.13,171
70203,Región Huetar Atlántica,5.13,171
70204,Región Huetar Atlántica,5.13,171
70205,Región Huetar Atlántica,5.13,171
70206,Región Huetar Atlántica,5.13,171
70301,Región Huetar Atlántica,5.13,171
70302,Región Huetar Atlántica,5.13,171
70303,Región Huetar Atlántica,5.13,171
70304,Región Huetar Atlántica,5.13,171
70305,Región Huetar Atlántica,5.13,171
70306,Región Huetar Atlántica,5.13,171
70401,Región Huetar Atlántica,5.13,171
70402,Región Huetar Atlántica,5.13,171
70403,Región Huetar Atlántica,5.13,171
70404,Región Huetar Atlántica,5.13,171
70501,Región Huetar Atlántica,5.13,171
70502,Región Huetar Atlántica,5.13,171
70503,Región Huetar Atlántica,5.13,171
70601,Región Huetar Atlántica,5.13,171
70602,Región Huetar Atlántica,5.13,171
70603,Región Huetar Atlántica,5.13,171
70604,Región Huetar Atlántica,5.13,171
70605,Región Huetar Atlántica,5.13,171
