codigo,nombre,poblacion,provincia,canton,caudal,caudal humano,caudal agroganaderia,caudal industrial,caudal turismo,caudal otros,pozos,region de consumo,consumo promedio mensual en metros cubicos,consumo diario en litros
10906,Brasil,2586,1,109,69.05,55.19,3.25,9.61,0,1.00,44,Región Central,5.45,181.666666667
10901,Santa Ana,11320,1,109,85.70,63.80,15.56,5.34,0,1.00,80,Región Central,5.45,181.666666667
30101,Oriental,12228,3,301,98.01,92.01,0,6.00,0,0,12,Región Central,5.45,181.666666667
10903,Pozos,15585,1,109,322.41,190.50,62.91,31.40,7.00,30.60,174,Región Central,5.45,181.666666667
30203,Orosi,9084,3,302,15.50,9.50,1.00,4.00,0,1.00,4,Región Central,5.45,181.666666667
40203,San Pablo,8319,4,402,36.00,34.00,2,0,0,0,8,Región Central,5.45,181.666666667
10309,Rosario,3088,1,103,1.20,1.20,0,0,0,0,1,Región Central,5.45,181.666666667
10308,San Cristóbal,3905,,,,,,,,,,Región Central,5.45,181.666666667
10307,Patarrá,11921,1,103,18.05,15.05,1.00,2.00,0,0,10,Región Central,5.45,181.666666667
10306,Frailes,3772,,,,,,,,,,Región Central,5.45,181.666666667
10305,San Antonio,9727,1,103,10.19,8.04,1.15,1.00,0,0,9,Región Central,5.45,181.666666667
10304,San Rafael Arriba,15262,1,103,13.40,9.10,0,4.30,0,0,6,Región Central,5.45,181.666666667
10303,San Juan de Dios,19481,1,103,3.50,1.50,0,2.00,0,0,3,Región Central,5.45,181.666666667
10302,San Miguel,31805,1,103,43.18,36.88,6.30,0,0,0,18,Región Central,5.45,181.666666667
10301,Desamparados,33866,1,103,13.65,9.90,1.75,2.00,0,0,9,Región Central,5.45,181.666666667
60403,San Isidro,3403,6,604,15.06,10.46,2.10,0,0,2.50,15,Región Pacífico Central,5.56,185.333333333
60402,La Unión,1249,,,,,,,,,,Región Pacífico Central,5.56,185.333333333
60401,Miramar,8298,6,604,2.97,1.50,0,0,0,1.47,7,Región Pacífico Central,5.56,185.333333333
40206,San José de la Montaña,5377,4,402,41.47,15.30,15.21,10.96,0,0.00,20,Región Central,5.45,181.666666667
40205,Santa Lucía,7413,4,402,50.60,49.00,0,1.60,0,0,6,Región Central,5.45,181.666666667
40204,San Roque,4622,4,402,6.50,6.50,0,0,0,0,5,Región Central,5.45,181.666666667
