codigo,provincia,canton,caudal,caudal humano,caudal agroganaderia,caudal industrial,caudal turismo,caudal otros,pozos
50202,5,502,173.74,141.30,29.69,2.00,0,0.75,86
50203,5,502,378.07,201.08,171.99,0,0,5.00,178
50201,5,502,655.28,377.01,250.24,10.53,2.40,15.10,267
50206,5,502,304.06,225.61,52.42,0,19.73,6.30,173
50207,5,502,70.10,63.30,6.80,0,0,0,19
50204,5,502,79.29,73.29,5.00,0,0,1.00,33
50205,5,502,190.85,75.53,73.77,16.25,15.30,10.00,102
10310,1,103,4.00,0.50,0,3.50,0,0,4
10311,1,103,5.47,5.47,0,0,0,0,1
40504,4,405,127.15,112.05,2.50,6.60,3.00,3.00,28
40505,4,405,62.10,53.10,9.00,0,0,0.00,28
40501,4,405,15.70,15.70,0,0,0,0,2
40502,4,405,40.65,25.65,0,15.00,0,0.00,5
40503,4,405,13.00,13.00,0,0,0,0,2
20805,2,208,73.31,25.66,38.87,8.78,0,0,21
20804,2,208,31.83,23.53,8.30,0,0,0,16
20803,2,208,12.90,3.50,1.60,4.30,0,2.50,9
20802,2,208,13.60,2.50,11.00,0.10,0,0,8
20801,2,208,56.05,19.50,35.55,1.00,0,0,13
60704,6,607,67.50,67.50,0,0,0,0,16
51004,5,510,23.44,18.44,5.00,0,0,0,23
51003,5,510,31.50,7.00,1.50,23.00,0,0,11
60701,6,607,289.47,94.30,0,174.17,17.00,0,34
60702,6,607,76.10,59.55,0,0,16.55,0.00,20
60703,6,607,311.81,16.50,98.25,196.56,0.50,0,30
10501,1,105,10.82,10.32,0.50,0,0,0,4
10502,1,105,2.00,0,2.00,0,0,0,2
61004,6,610,51.05,35.00,0,16.05,0,0,13
60109,6,601,12.00,0,0,0,12.00,0,4
61001,6,610,492.90,90.80,77.80,314.30,0,10.00,51
61002,6,610,9.00,9.00,0,0,0,0,1
61003,6,610,7.15,4.89,1.00,1.26,0,0,8
60201,6,602,219.57,192.44,14.16,4.17,8.80,0,75
21009,2,210,21.40,7.00,6.60,7.80,0,0,7
40308,4,403,25.80,19.50,0,6.30,0,0.00,5
60202,6,602,263.00,172.19,54.04,32.77,0.50,1.50,112
60205,6,602,23.00,20.50,2.5,0,0,0,4
60204,6,602,162.64,123.14,28.50,2.90,2.00,5.60,76
40302,4,403,26.28,17.28,5.00,0,0,4,8
40303,4,403,321.54,295.54,13.00,11.50,0,1.50,24
21002,2,210,84.16,25.91,4.75,50.50,0,0,20
40301,4,403,0.00,0,0,0,0,0,1
40306,4,403,281.53,258.50,14.25,8.78,0,0,18
40307,4,403,33.00,19.50,0.50,0,0,10.00,8
21006,2,210,139.37,48.71,25.20,61.46,0,4.00,51
40305,4,403,70.96,57.66,0,5.00,0,8.30,15
30503,3,305,0.50,0,0.50,0,0,0,1
30502,3,305,10.80,10.50,0,0,0.30,0,3
30501,3,305,30.97,27.07,0,3.90,0,0,11
30506,3,305,7.50,3.00,4.5,0,0,0,2
21103,2,211,4.00,0,4.00,0,0,0,2
60108,6,601,443.77,243.07,1.00,179.27,17.73,2.70,83
20206,2,202,90.85,65.25,6.50,18.10,1,0.00,32
60102,6,601,112.33,47.77,3.70,60.86,0,0,37
60103,6,601,189.24,110.95,9.56,68.73,0,0,49
60101,6,601,19.80,6.80,0,7.00,0,6,11
60106,6,601,53.81,48.45,3.50,1.86,0,0,20
60107,6,601,2.50,0,2.50,0,0,0,2
60104,6,601,260.24,130.19,88.90,1.2,37.45,2.50,96
60105,6,601,282.34,127.11,99.85,9.56,38.82,3.00,115
